contestant_id,contestant_name,season_number,episode_number,season_outcome,episode_placement,episode_title,episode_airdate,episode_type,episode_maxi_challenge_type,contestant_entrance,age,hometown_city,hometown_state,handle_instagram,handle_twitter
1,Shannel,1,1,4,SAFE,Drag on a Dime,2009-02-02,Competition,Sewing,1,29,Las Vegas,Nevada,theofficialshannel,ShannelOfficial
2,Nina Flowers,1,1,2,WIN,Drag on a Dime,2009-02-02,Competition,Sewing,2,34,Bayamon,Puerto Rico,djninaflowers,DJNinaFlowers
3,Rebecca Glasscock,1,1,3,LOW,Drag on a Dime,2009-02-02,Competition,Sewing,3,26,Fort Lauderdale,Florida,,rebeccaglasscoc
4,Ongina,1,1,5,HIGH,Drag on a Dime,2009-02-02,Competition,Sewing,4,26,Los Angeles,California,ongina,ongina
5,Victoria Porkchop Parker,1,1,9,ELIM,Drag on a Dime,2009-02-02,Competition,Sewing,5,39,Raleigh,North Carolina,porkchopla,PorkChopLA ‏
6,Akashia,1,1,7,BTM2,Drag on a Dime,2009-02-02,Competition,Sewing,6,24,Cleveland,Ohio,akashiadrag,DragAkashia
7,Tammie Brown,1,1,8,SAFE,Drag on a Dime,2009-02-02,Competition,Sewing,7,29,Long Beach,California,planettammie,thetammiebrown
8,Jade,1,1,6,SAFE,Drag on a Dime,2009-02-02,Competition,Sewing,8,25,Chicago,Illinois,jadesotomayor,SotomayorJade
9,BeBe Zahara Benet,1,1,1,SAFE,Drag on a Dime,2009-02-02,Competition,Sewing,9,28,Minneapolis,Minnesota,bebezahara,BeBeZaharaBenet
1,Shannel,1,2,4,HIGH,Girl Group Challenge,2009-02-09,Competition,Lipsync,1,29,Las Vegas,Nevada,theofficialshannel,ShannelOfficial
2,Nina Flowers,1,2,2,HIGH,Girl Group Challenge,2009-02-09,Competition,Lipsync,2,34,Bayamon,Puerto Rico,djninaflowers,DJNinaFlowers
3,Rebecca Glasscock,1,2,3,HIGH,Girl Group Challenge,2009-02-09,Competition,Lipsync,3,26,Fort Lauderdale,Florida,,rebeccaglasscoc
4,Ongina,1,2,5,WIN,Girl Group Challenge,2009-02-09,Competition,Lipsync,4,26,Los Angeles,California,ongina,ongina
6,Akashia,1,2,7,BTM2,Girl Group Challenge,2009-02-09,Competition,Lipsync,6,24,Cleveland,Ohio,akashiadrag,DragAkashia
7,Tammie Brown,1,2,8,ELIM,Girl Group Challenge,2009-02-09,Competition,Lipsync,7,29,Long Beach,California,planettammie,thetammiebrown
8,Jade,1,2,6,SAFE,Girl Group Challenge,2009-02-09,Competition,Lipsync,8,25,Chicago,Illinois,jadesotomayor,SotomayorJade
9,BeBe Zahara Benet,1,2,1,SAFE,Girl Group Challenge,2009-02-09,Competition,Lipsync,9,28,Minneapolis,Minnesota,bebezahara,BeBeZaharaBenet
1,Shannel,1,3,4,BTM2,Queens of All Media,2009-02-16,Competition,Talk Show,1,29,Las Vegas,Nevada,theofficialshannel,ShannelOfficial
2,Nina Flowers,1,3,2,HIGH,Queens of All Media,2009-02-16,Competition,Talk Show,2,34,Bayamon,Puerto Rico,djninaflowers,DJNinaFlowers
3,Rebecca Glasscock,1,3,3,SAFE,Queens of All Media,2009-02-16,Competition,Talk Show,3,26,Fort Lauderdale,Florida,,rebeccaglasscoc
4,Ongina,1,3,5,HIGH,Queens of All Media,2009-02-16,Competition,Talk Show,4,26,Los Angeles,California,ongina,ongina
6,Akashia,1,3,7,ELIM,Queens of All Media,2009-02-16,Competition,Talk Show,6,24,Cleveland,Ohio,akashiadrag,DragAkashia
8,Jade,1,3,6,LOW,Queens of All Media,2009-02-16,Competition,Talk Show,8,25,Chicago,Illinois,jadesotomayor,SotomayorJade
9,BeBe Zahara Benet,1,3,1,WIN,Queens of All Media,2009-02-16,Competition,Talk Show,9,28,Minneapolis,Minnesota,bebezahara,BeBeZaharaBenet
1,Shannel,1,4,4,LOW,Mac Viva-Glam Challenge,2009-02-23,Competition,Commercial,1,29,Las Vegas,Nevada,theofficialshannel,ShannelOfficial
2,Nina Flowers,1,4,2,HIGH,Mac Viva-Glam Challenge,2009-02-23,Competition,Commercial,2,34,Bayamon,Puerto Rico,djninaflowers,DJNinaFlowers
3,Rebecca Glasscock,1,4,3,BTM2,Mac Viva-Glam Challenge,2009-02-23,Competition,Commercial,3,26,Fort Lauderdale,Florida,,rebeccaglasscoc
4,Ongina,1,4,5,WIN,Mac Viva-Glam Challenge,2009-02-23,Competition,Commercial,4,26,Los Angeles,California,ongina,ongina
8,Jade,1,4,6,ELIM,Mac Viva-Glam Challenge,2009-02-23,Competition,Commercial,8,25,Chicago,Illinois,jadesotomayor,SotomayorJade
9,BeBe Zahara Benet,1,4,1,HIGH,Mac Viva-Glam Challenge,2009-02-23,Competition,Commercial,9,28,Minneapolis,Minnesota,bebezahara,BeBeZaharaBenet
1,Shannel,1,5,4,HIGH,Drag School of Charm,2009-03-02,Competition,Makeover,1,29,Las Vegas,Nevada,theofficialshannel,ShannelOfficial
2,Nina Flowers,1,5,2,LOW,Drag School of Charm,2009-03-02,Competition,Makeover,2,34,Bayamon,Puerto Rico,djninaflowers,DJNinaFlowers
3,Rebecca Glasscock,1,5,3,WIN,Drag School of Charm,2009-03-02,Competition,Makeover,3,26,Fort Lauderdale,Florida,,rebeccaglasscoc
4,Ongina,1,5,5,ELIM,Drag School of Charm,2009-03-02,Competition,Makeover,4,26,Los Angeles,California,ongina,ongina
9,BeBe Zahara Benet,1,5,1,BTM2,Drag School of Charm,2009-03-02,Competition,Makeover,9,28,Minneapolis,Minnesota,bebezahara,BeBeZaharaBenet
1,Shannel,1,6,4,ELIM,Absolut Drag Ball,2009-03-09,Competition,Ball,1,29,Las Vegas,Nevada,theofficialshannel,ShannelOfficial
2,Nina Flowers,1,6,2,HIGH,Absolut Drag Ball,2009-03-09,Competition,Ball,2,34,Bayamon,Puerto Rico,djninaflowers,DJNinaFlowers
3,Rebecca Glasscock,1,6,3,BTM2,Absolut Drag Ball,2009-03-09,Competition,Ball,3,26,Fort Lauderdale,Florida,,rebeccaglasscoc
9,BeBe Zahara Benet,1,6,1,WIN,Absolut Drag Ball,2009-03-09,Competition,Ball,9,28,Minneapolis,Minnesota,bebezahara,BeBeZaharaBenet
2,Nina Flowers,1,8,2,Runner-up,Grande Finale,2009-03-23,Finale,,2,34,Bayamon,Puerto Rico,djninaflowers,DJNinaFlowers
3,Rebecca Glasscock,1,8,3,Eliminated,Grande Finale,2009-03-23,Finale,,3,26,Fort Lauderdale,Florida,,rebeccaglasscoc
9,BeBe Zahara Benet,1,8,1,Winner,Grande Finale,2009-03-23,Finale,,9,28,Minneapolis,Minnesota,bebezahara,BeBeZaharaBenet
1,Shannel,1,9,4,Guest,Re-United!,2009-03-23,Reunion,,1,29,Las Vegas,Nevada,theofficialshannel,ShannelOfficial
2,Nina Flowers,1,9,2,Miss C,Re-United!,2009-03-23,Reunion,,2,34,Bayamon,Puerto Rico,djninaflowers,DJNinaFlowers
3,Rebecca Glasscock,1,9,3,Guest,Re-United!,2009-03-23,Reunion,,3,26,Fort Lauderdale,Florida,,rebeccaglasscoc
4,Ongina,1,9,5,Guest,Re-United!,2009-03-23,Reunion,,4,26,Los Angeles,California,ongina,ongina
5,Victoria Porkchop Parker,1,9,9,Guest,Re-United!,2009-03-23,Reunion,,5,39,Raleigh,North Carolina,porkchopla,PorkChopLA ‏
6,Akashia,1,9,7,Guest,Re-United!,2009-03-23,Reunion,,6,24,Cleveland,Ohio,akashiadrag,DragAkashia
7,Tammie Brown,1,9,8,Guest,Re-United!,2009-03-23,Reunion,,7,29,Long Beach,California,planettammie,thetammiebrown
8,Jade,1,9,6,Guest,Re-United!,2009-03-23,Reunion,,8,25,Chicago,Illinois,jadesotomayor,SotomayorJade
9,BeBe Zahara Benet,1,9,1,Guest,Re-United!,2009-03-23,Reunion,,9,28,Minneapolis,Minnesota,bebezahara,BeBeZaharaBenet
10,Nicole Paige Brooks,2,1,11,SAFE,Gone with the Windows,2010-02-01,Competition,Sewing,1,36,Atlanta,Georgia,nicolepaigebrooks,nicolepbrooks
11,Shangela Laquifa Wadley,2,1,12,ELIM,Gone with the Windows,2010-02-01,Competition,Sewing,2,28,Los Angeles,California,itsshangela,itsSHANGELA
12,Raven,2,1,2,SAFE,Gone with the Windows,2010-02-01,Competition,Sewing,3,30,Riverside,California,itsravenhunty_,RavenHUNTY
13,Jujubee,2,1,3,SAFE,Gone with the Windows,2010-02-01,Competition,Sewing,4,25,Boston,Massachusetts,jujubeeonline,jujuboston
14,Sahara Davenport,2,1,7,BTM2,Gone with the Windows,2010-02-01,Competition,Sewing,5,25,New York,New York,,
15,Morgan McMichaels,2,1,8,WIN,Gone with the Windows,2010-02-01,Competition,Sewing,6,28,Mira Loma,California,morganmcmichaels,morganmcmichael
16,Mystique Summers Madison,2,1,10,LOW,Gone with the Windows,2010-02-01,Competition,Sewing,7,25,Bedford,Texas,mystiquesummers,MystiqueSummers
17,Jessica Wild,2,1,6,SAFE,Gone with the Windows,2010-02-01,Competition,Sewing,8,29,San Juan,Puerto Rico,jessicawild88,JessicaWild88
18,Sonique,2,1,9,SAFE,Gone with the Windows,2010-02-01,Competition,Sewing,9,26,Atlanta,Georgia,xosonique,xoSonique
19,Tatianna,2,1,4,SAFE,Gone with the Windows,2010-02-01,Competition,Sewing,10,21,Falls Church,Virginia,tatiannagram,TATIANNANOW
20,Pandora Boxx,2,1,5,HIGH,Gone with the Windows,2010-02-01,Competition,Sewing,11,37,Rochester,New York,pandoraboxx,ThePandoraBoxx
21,Tyra Sanchez,2,1,1,HIGH,Gone with the Windows,2010-02-01,Competition,Sewing,12,21,Orlando,Florida,,
10,Nicole Paige Brooks,2,2,11,ELIM,Starbootylicious,2010-02-08,Competition,Dancing,1,36,Atlanta,Georgia,nicolepaigebrooks,nicolepbrooks
12,Raven,2,2,2,BTM2,Starbootylicious,2010-02-08,Competition,Dancing,3,30,Riverside,California,itsravenhunty_,RavenHUNTY
13,Jujubee,2,2,3,HIGH,Starbootylicious,2010-02-08,Competition,Dancing,4,25,Boston,Massachusetts,jujubeeonline,jujuboston
14,Sahara Davenport,2,2,7,WIN,Starbootylicious,2010-02-08,Competition,Dancing,5,25,New York,New York,,
15,Morgan McMichaels,2,2,8,SAFE,Starbootylicious,2010-02-08,Competition,Dancing,6,28,Mira Loma,California,morganmcmichaels,morganmcmichael
16,Mystique Summers Madison,2,2,10,HIGH,Starbootylicious,2010-02-08,Competition,Dancing,7,25,Bedford,Texas,mystiquesummers,MystiqueSummers
17,Jessica Wild,2,2,6,HIGH,Starbootylicious,2010-02-08,Competition,Dancing,8,29,San Juan,Puerto Rico,jessicawild88,JessicaWild88
18,Sonique,2,2,9,LOW,Starbootylicious,2010-02-08,Competition,Dancing,9,26,Atlanta,Georgia,xosonique,xoSonique
19,Tatianna,2,2,4,SAFE,Starbootylicious,2010-02-08,Competition,Dancing,10,21,Falls Church,Virginia,tatiannagram,TATIANNANOW
20,Pandora Boxx,2,2,5,SAFE,Starbootylicious,2010-02-08,Competition,Dancing,11,37,Rochester,New York,pandoraboxx,ThePandoraBoxx
21,Tyra Sanchez,2,2,1,HIGH,Starbootylicious,2010-02-08,Competition,Dancing,12,21,Orlando,Florida,,
