season_number,contestant_entrance,contestant_id,contestant_name,age,hometown_city,hometown_state,season_outcome,handle_instagram,handle_twitter
1,1,1,Shannel,29,Las Vegas,Nevada,4,theofficialshannel,ShannelOfficial
1,2,2,Nina Flowers,34,Bayamon,Puerto Rico,2,djninaflowers,DJNinaFlowers
1,3,3,Rebecca Glasscock,26,Fort Lauderdale,Florida,3,,rebeccaglasscoc
1,4,4,Ongina,26,Los Angeles,California,5,ongina,ongina
1,5,5,Victoria Porkchop Parker,39,Raleigh,North Carolina,9,porkchopla,PorkChopLA ‏
1,6,6,Akashia,24,Cleveland,Ohio,7,akashiadrag,DragAkashia
1,7,7,Tammie Brown,29,Long Beach,California,8,planettammie,thetammiebrown
1,8,8,Jade,25,Chicago,Illinois,6,jadesotomayor,SotomayorJade
1,9,9,BeBe Zahara Benet,28,Minneapolis,Minnesota,1,bebezahara,BeBeZaharaBenet
2,1,10,Nicole Paige Brooks,36,Atlanta,Georgia,11,nicolepaigebrooks,nicolepbrooks
2,2,11,Shangela Laquifa Wadley,28,Los Angeles,California,12,itsshangela,itsSHANGELA
2,3,12,Raven,30,Riverside,California,2,itsravenhunty_,RavenHUNTY
2,4,13,Jujubee,25,Boston,Massachusetts,3,jujubeeonline,jujuboston
2,5,14,Sahara Davenport,25,New York,New York,7,,
2,6,15,Morgan McMichaels,28,Mira Loma,California,8,morganmcmichaels,morganmcmichael
2,7,16,Mystique Summers Madison,25,Bedford,Texas,10,mystiquesummers,MystiqueSummers
2,8,17,Jessica Wild,29,San Juan,Puerto Rico,6,jessicawild88,JessicaWild88
2,9,18,Sonique,26,Atlanta,Georgia,9,xosonique,xoSonique
2,10,19,Tatianna,21,Falls Church,Virginia,4,tatiannagram,TATIANNANOW
2,11,20,Pandora Boxx,37,Rochester,New York,5,pandoraboxx,ThePandoraBoxx
2,12,21,Tyra Sanchez,21,Orlando,Florida,1,,
3,1,22,Delta Work,34,Norwalk,California,7,deltawork,
3,2,23,Carmen Carrera,25,Elmwood Park,New Jersey,5,carmen_carrera,Carmen_Carrera
3,3,24,Phoenix,29,Atlanta,Georgia,12,phoenix_atl,Phoenix_atl
3,4,25,Manila Luzon,28,New York,New York,2,manilaluzon,manilaluzon
3,5,26,Stacy Layne Matthews,25,Back Swamp,North Carolina,8,stacylmatthews,StacyLMatthews
3,6,27,Venus D-Lite,26,Los Angeles,California,13,venusdlitemadonna,venusdlite
3,7,28,Yara Sofia,26,Manati,Puerto Rico,4,yarasofiapr,yarasofiapr
3,8,29,Mariah,29,Atlanta,Georgia,9,mug4dayz,mug4dayz
3,9,30,Alexis Mateo,30,St. Petersburg,Florida,3,miss_alexis_mateo,alexismateo79
3,10,31,India Ferrah,23,Dayton,Ohio,10,indiaferrah,Indiaferrah
3,11,32,Mimi Imfurst,27,New York,New York,11,mimiimfurst,
3,12,33,Raja,36,Los Angeles,California,1,sutanamrull,sutanamrull
3,13,34,Shangela,29,Los Angeles,California,6,itsshangela,itsSHANGELA
4,1,35,Willam,29,Los Angeles,California,7,willam,willam
4,2,36,Lashauwn Beyond,21,Fort Lauderdale,Florida,12,lashauwnbeyond,LashauwnBeyond
4,3,37,Jiggly Caliente,30,Queens,New York,8,jigglycalienteofficial,JigglyCaliente
4,4,38,Phi Phi O'Hara,25,Chicago,Illinois,2,phiphiohara,PhiPhiOhara
4,5,39,Madame LaQueer,29,Carolina,Puerto Rico,10,ditisnietmilan,MadameLaQueer
4,6,40,Milan,36,New York,New York,9,,
4,7,41,Alisa Summers,23,Tampa,Florida,13,,
4,8,42,DiDa Ritz,25,Chicago,Illinois,6,didaswag,MissDidaRitz
4,9,43,The Princess,31,Chicago,Illinois,11,thedragprincess,TheDragPrincess
4,10,44,Kenya Michaels,21,Dorado,Puerto Rico,5,realkenyamichaels,KenyaMichaels
4,11,45,Chad Michaels,40,San Diego,California,2,chadmichaelsallstar,ChadMichaels1
4,12,46,Sharon Needles,29,Pittsburgh,Pennsylvania,1,sharonneedlespgh,SHARON_NEEDLES
4,13,47,Latrice Royale,39,South Beach,Florida,4,latriceroyale,LatriceRoyale
5,1,48,Detox,27,Los Angeles,California,4,theonlydetox,TheOnlyDetox
5,2,49,Roxxxy Andrews,28,Orlando,Florida,2,roxxxyandrews,RoxxxyAndrews
5,3,50,Jade Jolie,25,Gainesville,Florida,8,missjadejolie,QueenJadeJolie
5,4,51,Serena ChaCha,21,Tallahassee,Florida,13,myron.morgan,SerenaChaCha
5,5,52,Alyssa Edwards,32,Mesquite,Texas,6,alyssaedwards_1,AlyssaEdwards_1
5,6,53,Jinkx Monsoon,24,Seattle,Washington,1,thejinkx,JinkxMonsoon
5,7,54,Penny Tration,39,Cincinnati,Ohio,14,misspennytration,PennyTration
5,8,55,Vivienne Pinay,26,New York,New York,10,viviennepinay,ViviennePinay
5,9,56,Alaska,27,Pittsburgh,Pennsylvania,2,theonlyalaska5000,Alaska5000
5,10,57,Honey Mahogany,29,San Francisco,California,10,honeymahogany,honeymahogany
5,11,58,Ivy Winters,22,Greenville,Michigan,7,ivy_winters,Ivy_Winters
5,12,59,Monica Beverly Hillz,27,Owensboro,Kentucky,12,monicabhillz,MonicaBHillz
5,13,60,Lineysha Sparx,24,San Juan,Puerto Rico,9,lineyshasparx,LineyshaSparx
5,14,61,Coco Montrese,37,Las Vegas,Nevada,5,theonlycocomontrese,cocomontrese
6,1,62,Adore Delano,23,Azusa,California,2,adoredelano,AdoreDelano
6,2,63,BenDeLaCreme,31,Seattle,Washington,5,bendelacreme,bendelacreme
6,3,64,Gia Gunn,23,Chicago,Illinois,10,gia_gunn,GiaGunn
6,4,65,Laganja Estranja,24,Van Nuys,California,8,laganjaestranja,LaganjaEstranja
6,5,66,April Carrión,24,Guaynabo,Puerto Rico,11,aprilcarrion,ApriLcarrion
6,6,67,Kelly Mantle,36,Los Angeles,California,13,kellymantle,thekellymantle
6,7,68,Vivacious,40,New York,New York,12,vivaciousnyc,VivaciousNYC
6,8,69,Bianca Del Rio,37,New Orleans,Louisiana,1,thebiancadelrio,TheBiancaDelRio
6,9,70,Trinity K. Bonet,22,Atlanta,Georgia,7,trinitykbonet,trinitykbonet
6,10,71,Joslyn Fox,26,Worcester,Massachusetts,6,joslynfox,Joslyn_Fox
6,11,72,Milk,25,New York,New York,9,bigandmilky,bigandmilky
6,12,73,Magnolia Crawford,28,Seattle,Washington,13,magnoliaisme,magnoliaisme
6,13,74,Courtney Act,31,West Hollywood,California,2,courtneyact,courtneyact
6,14,75,Darienne Lake,41,Rochester,New York,4,dariennelake,dariennelake
7,1,76,Miss Fame,29,New York,New York,7,missfamenyc,MissFameNYC
7,2,77,Ginger Minj,29,Orlando,Florida,2,gingerminj,TheGingerMinj
7,3,78,Jaidynn Diore Fierce,25,Nashville,Tennessee,8,jaidynnfierce,jaidynnfierce
7,4,79,Violet Chachki,22,Atlanta,Georgia,1,violetchachki,VioletChachki
7,5,80,Max,22,Hudson,Wisconsin,9,maxcollective,MAXcollective
7,6,81,Katya,32,Boston,Massachusetts,5,katya_zamo,katya_zamo
7,7,82,Jasmine Masters,37,Los Angeles,California,12,msjasminemasters,
7,8,83,Mrs. Kasha Davis,43,Rochester,New York,11,mrskashadavis,KashaDavis
7,9,84,Trixie Mattel,24,Milwaukee,Wisconsin,6,trixiemattel,trixiemattel
7,10,85,Kandy Ho,28,Cayey,Puerto Rico,10,ho_kandy,kandy_ho
7,11,86,Pearl,23,Brooklyn,New York,2,pearliaison,pearliaison
7,12,87,Kennedy Davenport,33,Dallas,Texas,4,kennedyddoftx,kennedyddoftx
7,13,88,Sasha Belle,28,Iowa City,Iowa,13,sashabelley,SashaBelle3
7,14,89,Tempest DuJour,46,Tucson,Arizona,14,tempestdujour,TempestDujour
8,1,90,Naomi Smalls,21,Redlands,California,2,naomismalls,naomismallsduh
8,2,91,Cynthia Lee Fontaine,34,Austin,Texas,10,cynthialeefontaine,lee_fontaine
8,3,92,Dax ExclamationPoint,31,Savannah,Georgia,11,daxclamation,Daxclamation
8,4,93,Naysha Lopez,31,Chicago,Illinois,9,nayshalopez,nayshalopez
8,5,94,Acid Betty,37,Brooklyn,New York,8,acidbetty,acidbettyrocks
8,6,95,Robbie Turner,33,Seattle,Washington,7,therobbieturner,TheRobbieTurner
8,7,96,Kim Chi,27,Chicago,Illinois,2,kimchi_chic,KimChi_Chic
