season_number,episode_number,episode_airdate,episode_title,episode_type,episode_maxi_challenge_type,lipsync_song,song_author
1,1,2009-02-02,Drag on a Dime,Competition,Sewing,Supermodel (You Better Work),RuPaul
1,2,2009-02-09,Girl Group Challenge,Competition,Lipsync,We Break the Dawn,Michelle Williams
1,3,2009-02-16,Queens of All Media,Competition,Talk Show,The Greatest Love of All,Whitney Houston
1,4,2009-02-23,Mac Viva-Glam Challenge,Competition,Commercial,Would I Lie To You?,Eurythmics
1,5,2009-03-02,Drag School of Charm,Competition,Makeover,Stronger,Britney Spears
1,6,2009-03-09,Absolut Drag Ball,Competition,Ball,Shackles (Praise You),Mary Mary
1,7,2009-03-16,Extra Special Edition,Recap,,,
1,8,2009-03-23,Grande Finale,Finale,,Cover Girl (Put the Bass in Your Walk),RuPaul
1,9,2009-03-23,Re-United!,Reunion,,,
2,1,2010-02-01,Gone with the Windows,Competition,Sewing,Cover Girl (Put the Bass in Your Walk),RuPaul
2,2,2010-02-08,Starbootylicious,Competition,Dancing,My Lovin' (You're Never Gonna Get It),En Vogue
2,3,2010-02-15,Country Queens,Competition,Acting,I Hear You Knocking,Wynonna Judd
2,4,2010-02-22,The Snatch Game,Competition,Snatch Game,Two of Hearts,Stacey Q
2,5,2010-03-01,Here Comes the Bride,Competition,Sewing,Carry On,Martha Wash
2,6,2010-03-08,Rocker Chicks,Competition,Singing,Black Velvet,Alannah Myles
2,7,2010-03-22,Once Upon a Queen,Competition,Personal Branding,He's the Greatest Dancer,Sister Sledge
2,8,2010-03-29,Golden Gals,Competition,Makeover,Shake Your Love,Debbie Gibson
2,9,2010-04-12,The Diva Awards,Competition,Ball,Something He Can Feel,Aretha Franklin
2,10,2010-04-19,The Main Event Clip Show,Recap,,,
2,11,2010-04-26,Grand Finale,Finale,,Jealous of My Boogie (Gomi and RasJek Edit) ,RuPaul
2,12,2010-04-26,Reunion,Reunion,,,
3,1,2011-01-24,Casting Extravaganza,Casting,,,
3,2,2011-01-24,The Queen Who Mopped Xmas,Competition,Sewing,The Right Stuff ,Vanessa Williams
3,3,2011-01-31,Queens in Space,Competition,Acting,Bad Romance ,Lady Gaga
3,4,2011-02-07,Totally Leotarded,Competition,Personal Branding,Don't Leave Me This Way ,Thelma Houston
3,5,2011-02-14,QNN News,Competition,Talk Show,Meeting in the Ladies Room ,Klymaxx
3,6,2011-02-21,The Snatch Game,Competition,Snatch Game,Looking for a New Love,Jody Watley
3,7,2011-02-28,"Face, Face, Face of Cakes",Competition,Sewing,Knock on Wood,Amii Stewart
3,8,2011-03-07,Ru Ha Ha,Competition,Comedy,MacArthur Park,Donna Summer
3,9,2011-03-14,"Life, Liberty & the Pursuit of Style",Competition,Personal Branding,Mickey (Spanish version),Toni Basil
3,10,2011-03-21,RuPaul-a-Palooza,Competition,Singing,Believe,Cher
3,11,2011-03-28,RuPaul's Hair Extravaganza,Competition,Ball,Even Angels,Fantasia Barrino
3,12,2011-04-04,Jocks in Frocks,Competition,Makeover,Straight Up,Paula Abdul
3,13,2011-04-11,Make Dat Money,Competition,Ball,I Think About You ,Patti LaBelle
3,14,2011-04-18,Superstar Edition,Recap,,,
3,15,2011-04-25,Grand Finale,Finale,,Champion (DJ BunJoe's Olympic Mix) ,RuPaul
3,16,2011-05-02,Reunited!,Reunion,,,
