season_number,episode_number,contestant_id,contestant_name,episode_placement
1,1,9,BeBe Zahara Benet,SAFE
1,1,2,Nina Flowers,WIN
1,1,3,Rebecca Glasscock,LOW
1,1,1,Shannel,SAFE
1,1,4,Ongina,HIGH
1,1,8,Jade,SAFE
1,1,6,Akashia,BTM2
1,1,7,Tammie Brown,SAFE
1,1,5,Victoria Porkchop Parker,ELIM
1,2,9,BeBe Zahara Benet,SAFE
1,2,2,Nina Flowers,HIGH
1,2,3,Rebecca Glasscock,HIGH
1,2,1,Shannel,HIGH
1,2,4,Ongina,WIN
1,2,8,Jade,SAFE
1,2,6,Akashia,BTM2
1,2,7,Tammie Brown,ELIM
1,3,9,BeBe Zahara Benet,WIN
1,3,2,Nina Flowers,HIGH
1,3,3,Rebecca Glasscock,SAFE
1,3,1,Shannel,BTM2
1,3,4,Ongina,HIGH
1,3,8,Jade,LOW
1,3,6,Akashia,ELIM
1,4,9,BeBe Zahara Benet,HIGH
1,4,2,Nina Flowers,HIGH
1,4,3,Rebecca Glasscock,BTM2
1,4,1,Shannel,LOW
1,4,4,Ongina,WIN
1,4,8,Jade,ELIM
1,5,9,BeBe Zahara Benet,BTM2
1,5,2,Nina Flowers,LOW
1,5,3,Rebecca Glasscock,WIN
1,5,1,Shannel,HIGH
1,5,4,Ongina,ELIM
1,6,9,BeBe Zahara Benet,WIN
1,6,2,Nina Flowers,HIGH
1,6,3,Rebecca Glasscock,BTM2
1,6,1,Shannel,ELIM
1,8,9,BeBe Zahara Benet,Winner
1,8,2,Nina Flowers,Runner-up
1,8,3,Rebecca Glasscock,Eliminated
1,9,9,BeBe Zahara Benet,Guest
1,9,2,Nina Flowers,Miss C
1,9,3,Rebecca Glasscock,Guest
1,9,1,Shannel,Guest
1,9,4,Ongina,Guest
1,9,8,Jade,Guest
1,9,6,Akashia,Guest
1,9,7,Tammie Brown,Guest
1,9,5,Victoria Porkchop Parker,Guest
2,1,21,Tyra Sanchez,HIGH
2,1,12,Raven,SAFE
2,1,13,Jujubee,SAFE
2,1,19,Tatianna,SAFE
2,1,20,Pandora Boxx,HIGH
2,1,17,Jessica Wild,SAFE
2,1,14,Sahara Davenport,BTM2
2,1,15,Morgan McMichaels,WIN
2,1,18,Sonique,SAFE
2,1,16,Mystique Summers Madison,LOW
2,1,10,Nicole Paige Brooks,SAFE
2,1,11,Shangela Laquifa Wadley,ELIM
2,2,21,Tyra Sanchez,HIGH
2,2,12,Raven,BTM2
2,2,13,Jujubee,HIGH
2,2,19,Tatianna,SAFE
2,2,20,Pandora Boxx,SAFE
2,2,17,Jessica Wild,HIGH
2,2,14,Sahara Davenport,WIN
2,2,15,Morgan McMichaels,SAFE
2,2,18,Sonique,LOW
2,2,16,Mystique Summers Madison,HIGH
2,2,10,Nicole Paige Brooks,ELIM
